13,14746,7437,5477,"0,736452870781229","0,371422758714228","0,493801559752964","0,615476243987953","0,412294304512127",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_13,2017-12-20 00:51:16,PENDING,"{-R=NCBI, --XMLf1=}",4037,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=205147976, total_memory_for_jvm=232259584, jvm_version=25.151-b12}"
14,15114,7437,5645,"0,759042624714267","0,373494773058092","0,500642987007228","0,629151620525166","0,41572768915794",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_14,2017-12-20 07:46:09,PENDING,"{-R=NCBI, --DISAMB=, --XMLf1=}",3837,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=151557888, total_memory_for_jvm=243793920, jvm_version=25.151-b12}"
15,14920,7437,5600,"0,752991797767917","0,375335120643432","0,500961667486693","0,626846959792245","0,41718193602217",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_15,2017-12-20 21:15:54,PENDING,"{-R=NCBI, -C=, -V=Base, --DISAMB=, --XMLf1=}",5002,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=209928224, total_memory_for_jvm=238026752, jvm_version=25.151-b12}"
16,13334,7437,4523,"0,608175339518623","0,33920803959802","0,435511049058784","0,524929204772295","0,372122488605137",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_16,2017-12-21 21:43:21,PENDING,"{-R=NCBI, -C=, -V=Base, --DISAMB=, --XMLf1=, -z=}",7402,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=200487680, total_memory_for_jvm=228589568, jvm_version=25.151-b12}"
17,15007,7437,5620,"0,755681054188517","0,374491903778237","0,50080199607913","0,627862808624735","0,41651226561921",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_17,2017-12-23 21:15:37,PENDING,"{-R=NCBI, -t=, --DISAMB=, --XMLf1=}",4001,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=205233720, total_memory_for_jvm=233308160, jvm_version=25.151-b12}"
18,2219,7437,781,"0,105015463224418","0,35196034249662","0,161764705882353","0,122157224637908","0,23937963587323",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_17,2017-12-24 12:14:28,PENDING,"{-R=NCBI, -r=950, --DISAMB=, --XMLf1=}",3854,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=196901520, total_memory_for_jvm=224919552, jvm_version=25.151-b12}"
19,6016,7437,2109,"0,283582089552239","0,350565159574468","0,31353601427191","0,294849569399396","0,334751277737215",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_19,2017-12-25 10:43:13,PENDING,"{-R=NCBI, -r=800, --DISAMB=, --XMLf1=}",3869,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=225180040, total_memory_for_jvm=253231104, jvm_version=25.151-b12}"
20,15207,7437,5610,"0,754336425978217","0,368909055040442","0,495495495495496","0,623957290623957","0,41089870358163",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_20,2017-12-25 21:34:44,PENDING,"{-R=NCBI, --DISAMB=, --XMLf1=, -Y=}",4214,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=232421408, total_memory_for_jvm=260571136, jvm_version=25.151-b12}"
21,15107,7437,5668,"0,762135269597956","0,375190309128219","0,502838892831796","0,631813621669825","0,417593752302365",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_21,2017-12-26 09:54:11,PENDING,"{-Q=0, -R=NCBI, --DISAMB=, --XMLf1=}",3002,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=197143312, total_memory_for_jvm=224395264, jvm_version=25.151-b12}"
22,14688,7437,5612,"0,754605351620277","0,382080610021786","0,507299435028249","0,631469979296066","0,423937512275454",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_22,2017-12-26 21:28:15,PENDING,"{-R=NCBI, -d=, --DISAMB=, --XMLf1=}",3736,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=216311040, total_memory_for_jvm=244318208, jvm_version=25.151-b12}"
23,9411,7437,3374,"0,45367755815517","0,358516629476145","0,400522317188984","0,430807732577441","0,374215301346465",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_23,2017-12-28 10:15:31,PENDING,"{-R=NCBI, -r=700, --DISAMB=, --XMLf1=}",4057,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=312929392, total_memory_for_jvm=376963072, jvm_version=25.151-b12}"
24,15114,7437,5645,"0,759042624714267","0,373494773058092","0,500642987007228","0,629151620525166","0,41572768915794",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_24,2017-12-28 13:14:36,PENDING,"{-r=0, -R=NCBI, --XMLf1=}",4606,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=232060328, total_memory_for_jvm=260046848, jvm_version=25.151-b12}"
25,11728,7437,4316,"0,580341535565416","0,368008185538881","0,450404382989825","0,520300896904234","0,397063423430054",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_25,2017-12-29 10:43:39,PENDING,"{-R=NCBI, -r=600, --DISAMB=, --XMLf1=}",3888,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=204107360, total_memory_for_jvm=232259584, jvm_version=25.151-b12}"
26,15114,7437,5645,"0,759042624714267","0,373494773058092","0,500642987007228","0,629151620525166","0,41572768915794",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_26,2017-12-29 15:32:48,PENDING,"{-R=NCBI, -r=400, --DISAMB=, --XMLf1=}",4014,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=716203048, total_memory_for_jvm=1783103488, jvm_version=25.151-b12}"
28,15114,7437,5645,"0,759042624714267","0,373494773058092","0,500642987007228","0,629151620525166","0,41572768915794",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_27,2017-12-29 19:42:30,PENDING,"{-R=NCBI, -r=200, --DISAMB=, --XMLf1=}",4304,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=963099544, total_memory_for_jvm=1849688064, jvm_version=25.151-b12}"
29,14724,7437,5612,"0,754605351620277","0,381146427601195","0,506475339560489","0,630958805540565","0,423017201091463",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_29,2017-12-30 13:35:59,PENDING,"{-R=NCBI, -r=0, -d=, -u=, --XMLf1=}",3748,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=195803464, total_memory_for_jvm=223870976, jvm_version=25.151-b12}"
30,20101,7437,5469,"0,735377168212989","0,272076016118601","0,397196601060353","0,548556641055989","0,311301100852677",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_30,2017-12-30 16:09:10,PENDING,"{-a=, -R=NCBI, -r=0, -C=, -D=, -V=Base, -g=, --DISAMB=, --XMLf1=, -i=}",9847,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=1284726688, total_memory_for_jvm=1692401664, jvm_version=25.151-b12}"
31,2167,7437,776,"0,104343149119269","0,35809875403784","0,161599333610995","0,12157292809024","0,240918969264204",/home/massi/projects/result_files/txt_ascii,METAMAP,/home/massi/projects/result_files/extractor_results/mm,/home/massi/projects/result_files/TREC/mm/mm_run_31,2017-12-31 10:08:07,PENDING,"{-R=NCBI, -r=1000, -d=, --DISAMB=, --XMLf1=}",3697,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=189869272, total_memory_for_jvm=233308160, jvm_version=25.151-b12}"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
On Server,,,,,,,,,,,,,,,,,,
